name,description,is_system_level,ref_values
AccessionCategory,Accession Category,Yes,"value:Anatomic|display_value:Anatomic,value:Clinical|display_value:Clinical"
MaritalStatus,MaritalStatus,Yes,"value:Married|display_value:Married,value:Single|display_value:Single"
SmokingStatus,SmokingStatus,Yes,"value:Smoker|display_value:Smoker,value:Non-smoker|display_value:Non-smoker"
AccessionType,AccessionType,Yes,"value:Global|display_value:Global,value:Technical Only|display_value:Technical Only,value:Professional Only|display_value:Professional Only,value:Consult|display_value:Consult,value:tet|display_value:tet"
AccessionTemplate,AccessionTemplate,Yes,"value:Template1|display_value:Template1,value:Template2|display_value:Template2,value:Template3|display_value:Template3"
AccessionPrefix,AccessionPrefix,Yes,"value:ACA|display_value:ACA,value:ACB|display_value:ACB,value:ACC|display_value:ACC,value:ACD|display_value:ACD"
PaymentType,PaymentType,Yes,"value:Insurance|display_value:Insurance,value:Self Pay|display_value:Self Pay"
Test for import,Test for import,No,"value:Insurance|display_value:Insurance,value:Self Pay|display_value:Self Pay"
AccessionStatus,AccessionStatus,Yes,"value:Initial|display_value:Initial,value:Created|display_value:Created,value:InProgress|display_value:In Progress,value:Completed|display_value:Completed"
printercategory,Printer Category,Yes,"value:RNA|display_value:RNA,value:DNA|display_value:DNA,value:Plasma|display_value:Plasma"
DoctorCategory,DoctorCategory,No,"value:Pathologist|display_value:Pathologist,value:Urologist|display_value:Urologist"
CollectionMethod,Collection Method,Yes,"value:Biopsy|display_value:Biopsy,value:Fine Needle Aspirate|display_value:Fine Needle Aspirate,value:Blood Sample|display_value:Blood Sample,value:Urine Sample|display_value:Urine Sample,value:Tissue Scraping|display_value:Tissue Scraping"
BodySite,Body Site,No,"value:Liver|display_value:Liver,value:Pancreas|display_value:Pancreas,value:Kidney|display_value:Kidney,value:Heart|display_value:Heart"
Gender,Gender,Yes,"value:M|display_value:Male,value:F|display_value:Female,value:O|display_value:Other"
Descriptive,Descriptive,Yes,"value:DS01|display_value:DS01,value:DS02|display_value:DS02"
GrossCode,GrossCode,Yes,"value:GC01|display_value:GC01,value:GC02|display_value:GC02"
Models,Models,Yes,"value:Sample|display_value:Sample,value:IhcWorkflow|display_value:IhcWorkflow"
ModuleImages,Images for Different Modules,Yes,"value:Tests|display_value:assets/imgs/Test_Icon.png,value:CPT Codes|display_value:assets/imgs/CPT_Code_Icon.jpeg,value:ICD Codes|display_value:assets/imgs/ICD_Code_Icon.png,value:Printers|display_value:assets/imgs/Printers.png,value:Macros|display_value:assets/imgs/Macros_Icon.png,value:User printer infos|display_value:assets/imgs/Registered User Printer Info.png,value:Sample Types|display_value:assets/imgs/Sample_Type_Icon.png,value:IOT Types|display_value:assets/imgs/IOT Type.png,value:Event Rules|display_value:assets/imgs/Event Rules.png,value:Registered Applications|display_value:assets/imgs/Applications.png,value:Processing Actions|display_value:assets/imgs/Processing Action.png,value:Periodic Tasks|display_value:assets/imgs/Scheduler Task.png,value:Departments|display_value:assets/imgs/Department.png,value:Job Types|display_value:assets/imgs/Jobtype.png,value:Sites|display_value:assets/imgs/Site.png,value:Units|display_value:assets/imgs/Unit.png,value:Monitoring Parameters|display_value:assets/imgs/Parameter.png,value:Analytes|display_value:assets/imgs/Parameter.png,value:Event Types|display_value:assets/imgs/Event Type.png,value:Site timezones|display_value:assets/imgs/SiteTimezone.png,value:Event/IOT Types|display_value:assets/imgs/Event IOT Type.png,value:Reference Type|display_value:assets/imgs/Reference Type.png,value:Accessioning|display_value:assets/imgs/Accesssioning_Icon.png,value:Clients|display_value:assets/imgs/Client_Icon.png,value:Physicians|display_value:assets/imgs/Doctor_Icon.png,value:Patients|display_value:assets/imgs/Patient_Icon.png,value:Container Types|display_value:assets/imgs/Container_type_icon.png,value:Instrument Types|display_value:assets/imgs/Instrument_Type_Icon.png,value:Instrument Models|display_value:assets/imgs/Instrument_Model_Icon.png,value:Consumable Types|display_value:assets/imgs/Consumable_Type_Icon.jpg,value:Workflow|display_value:assets/imgs/Workflow_Icon.png,value:Label Methods|display_value:assets/imgs/LabelMethod_Icon.png,value:IHC Samples|display_value:assets/imgs/IHCSample.png,value:Cyto Macros|display_value:assets/imgs/CytoTemplate.png,value:Samples|display_value:assets/imgs/Samples.png,value:Test Workflow Steps|display_value:assets/imgs/Test Workflow Steps.png,value:Registered Users|display_value:assets/imgs/Registered User.png,value:Log entries|display_value:assets/imgs/System Log.png,value:Task Audit|display_value:assets/imgs/Task Audit.png,value:Cyto Samples|display_value:assets/imgs/CytoSample.png,value:IHC Macros|display_value:assets/imgs/IHCTemplate.png,value:Routing Info|display_value:assets/imgs/Samples Routing.png,value:Archived data log entries|display_value:assets/imgs/Transaction Log.png,value:Registered IoT Devices|display_value:assets/imgs/IOT Device.png,value:Monitoring Units|display_value:assets/imgs/Unit.png"
DepartmentName,DepartmentName,Yes,"value:Accessioning|display_value:Accessioning,value:Histology|display_value:Histology,value:Cytogenetics|display_value:Cytogenetics,value:IHC|display_value:IHC,value:Global|display_value:Global,value:AV-Accesioning|display_value:AV-Accesioning,value:FL-Accesioning|display_value:FL-Accesioning"
YesNoOption,YesNoOption,Yes,"value:N|display_value:No,value:Y|display_value:Yes"
